Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0603,6,100nF,C14663
C7,CP_Elec_6.3x5.4,1,47uF,C134734
Q1,SOT-23,1,2N7002,C8545
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R2, R3, R4, R5, R6, R7, R8, R9",0805,17,100,C17467
R101,0603,1,10k,C25804
R18,0805,1,10k,C17414
"R19, R20, R21",0603,3,1k,C21122
"U1, U2, U3, U4, U5",SOIC-16_3.9x9.9mm_P1.27mm,5,74HC595,C14791
"U6, U7",SOIC-18W_7.5x11.6mm_P1.27mm,2,TBD62783A,C96336
"U8, U9",SOIC-18W_7.5x11.6mm_P1.27mm,2,TBD62083A,C134547
