Designator,Mid X,Mid Y,Rotation,Layer
C10,77.0,-92.95,180.0,top
C11,257.1675,-114.59,0.0,top
C12,240.955,-114.59,0.0,top
C14,132.1275,-92.76,90.0,top
C15,126.2275,-92.76,90.0,top
C16,243.9375,-78.75,0.0,top
C17,240.1875,-77.0,180.0,top
C18,239.125,-85.0,0.0,top
C19,211.5375,-86.85,180.0,top
C2,253.455,-93.04,180.0,top
C4,62.4625,-84.325,0.0,top
C5,62.2375,-82.3,0.0,top
C6,67.625,-83.5875,270.0,top
C7,58.95,-76.975,90.0,top
C8,70.855,-75.125,0.0,top
C9,70.625,-79.4,0.0,top
D1,55.15,-80.1,180.0,top
D2,59.075,-73.075,0.0,top
H1,152.52,-93.388,180.0,top
IC1,92.25,-104.05,0.0,top
IC2,64.525,-77.825,0.0,top
IC3,133.4175,-85.94,90.0,top
IC4,239.075,-80.7,0.0,top
J1,51.3925,-75.02,180.0,top
J2,68.425,-108.15,0.0,top
J3,247.85,-84.15,0.0,top
J4,222.05,-76.1,180.0,top
J5,234.7625,-99.765,0.0,top
J6,184.7625,-99.765,0.0,top
J7,133.78,-112.475,90.0,top
J8,140.71,-75.5,270.0,top
J9,106.79,-105.0,90.0,top
R1,54.475,-82.075,0.0,top
R10,244.4175,-116.34,180.0,top
R11,253.6675,-116.34,0.0,top
R12,133.625,-80.225,0.0,top
R13,146.05,-78.575,180.0,top
R14,225.75,-85.525,270.0,top
R15,222.708333,-85.525,270.0,top
R16,219.666667,-85.525,270.0,top
R17,216.625,-85.525,270.0,top
R18,203.2,-74.575,90.0,top
R19,200.65,-74.625,90.0,top
R2,48.35,-80.7125,270.0,top
R20,198.1,-74.625,90.0,top
R3,62.65,-73.075,180.0,top
R4,70.625,-77.825,0.0,top
R5,94.9875,-81.4,180.0,top
R6,87.9,-92.95,0.0,top
R7,253.6675,-114.59,180.0,top
R8,244.455,-114.59,0.0,top
R9,253.455,-94.54,0.0,top
SW1,87.9,-87.325,90.0,top
SW2,77.0,-87.325,90.0,top
U1,251.8675,-104.44,0.0,top
U2,51.6125,-86.35,0.0,top
U3,106.76,-84.11,0.0,top
U4,199.365,-81.665,270.0,top
Y1,129.2275,-93.185,270.0,top
